               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.04203,            0.028218,                   0,             0.63755,             0.47059,             0.52514,             0.32422,            0.022901,           0.0084982,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.040619,            0.030543,                   0,             0.63755,             0.47059,             0.52514,             0.32422,            0.022901,           0.0084982,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040096,            0.027793,                   0,             0.64214,             0.47059,             0.49952,             0.29345,            0.023148,           0.0085419,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03371,            0.026012,                   0,             0.60166,             0.52941,             0.60867,             0.29441,            0.023088,           0.0085736,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.033811,            0.029131,                   0,             0.60166,             0.52941,             0.60867,             0.29441,            0.023088,           0.0085736,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.040747,            0.026387,                   0,             0.51433,             0.56144,             0.49488,             0.29502,            0.022856,           0.0085725,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.033015,            0.025526,                   0,             0.63727,             0.51746,             0.48757,             0.28352,            0.023505,           0.0086506,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.039546,            0.029511,                   0,             0.63727,             0.51746,             0.48757,             0.28352,            0.023505,           0.0086506,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.04102,            0.029866,                   0,             0.63774,             0.51846,             0.51194,             0.30183,            0.023112,           0.0087059,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.038768,            0.032859,                   0,             0.60529,             0.64706,             0.56165,             0.34217,            0.022306,           0.0084039,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.035532,            0.027371,                   0,             0.60529,             0.64706,             0.56165,             0.34217,            0.022306,           0.0084039,                   0,            0.000496,            0.000496,            0.000496
